age,agechild,citistat,female,married,ownchild,wbhaom,gradeatn,cow1,ftptstat,statefips,hoursut,faminc,mind16,mocc10
52,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Foreign born, naturalized US citizen",Male,Married,0,Asian,Master's degree,"Private, for profit","PT for economic reasons, usually FT",DC,121,"$12,500 - $14,999","Medical, except hospital",Managers and professionals
78,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Native, born abroad with American parent(s)",Male,Not married,12,White,Doctorate,"Private, nonprofit","Not at work, usually part-time",PA,152,"Less than $5,000",Social Services,Office and admin
49,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born in US",Female,Not married,4,Multiple races,7th-8th grade,"Private, nonprofit",Not in labor force,AK,29,"$35,000 - $39,999","Agriculture, mining, forestry and fisheries",Services
29,All own children 14-17 years of age,"Native, born in US",Female,Married,7,Black,Master's degree,Government - State,"Not at work, usually part-time",MO,107,"$75,000 - $99,999","Medical, except hospital","Precision production, craft and repair"
43,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born abroad with American parent(s)",Male,Married,7,Hispanic,Associate degree-occupational/vocational,"Self-employed, unincorporated","Not at work, usually part-time",AL,142,"$10,000 - $12,499",Public administration,Protective service
60,Own children from all age groups,"Foreign born, naturalized US citizen",Male,Married,10,White,Associate degree-academic program,"Self-employed, unincorporated","Not at work, usually part-time",ND,143,"$75,000 - $99,999",Communications and utilities,Office and admin
77,All own children 3-5 years of age,"Native, born in US",Male,Married,5,Hispanic,"HS graduate, GED",Without pay,"PT for economic reasons, usually FT",VT,71,"$20,000 - $24,999",Communications and utilities,Protective service
73,Own children 0-2 and 3-5 years of age (none 6-17),"Native, born in US",Female,Married,8,Black,Associate degree-academic program,Without pay,"FT hours (35+), usually FT",NY,179,"$75,000 - $99,999",Retail trade,"Operators, fabricators and laborers"
21,All own children 0-2 years of age,"Native, born abroad with American parent(s)",Female,Married,6,Native American,Less than 1st grade,Without pay,"FT hours, usually PT for economic reasons",NJ,132,"$150,000+",Educational,Personal care and personal services
60,All own children 3-5 years of age,"Native, born in US",Male,Not married,3,Multiple races,Master's degree,"Self-employed, unincorporated","FT hours (35+), usually FT",MI,157,"$35,000 - $39,999","Manufacturing, durable goods",Managers and professionals
44,Own children 0-2 and 14-17 years of age (none 3-13),"Native, born in Puerto Rico or other US island areas",Female,Not married,9,White,10th grade,Government - State,"PT for non-economic reasons, usually FT",NY,186,"$15,000 - $19,999","Agriculture, mining, forestry and fisheries",Services
56,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Native, born in US",Male,Married,7,Hispanic,10th grade,Without pay,Unemployed FT,WI,14,"$30,000 - $34,999",Entertainment and recreation,"Operators, fabricators and laborers"
69,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Foreign born, naturalized US citizen",Female,Not married,11,Asian,Bachelor's degree,Without pay,"Not at work, usually part-time",NH,120,"$5,000 - $7,499",Educational,"Operators, fabricators and laborers"
53,No own children under 18 years of age,"Foreign born, not a US citizen",Male,Married,2,White,Doctorate,Government - Local,"Not at work, usually part-time",WV,102,"$100,000 - $149,999",Hospital,"Precision production, craft and repair"
74,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, not a US citizen",Female,Not married,1,Hispanic,Professional school,Government - State,"PT for non-economic reasons, usually FT",WI,24,"$50,000 - $74,999",Entertainment and recreation,Agriculture
34,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born in US",Female,Not married,2,Multiple races,Associate degree-academic program,Without pay,"Not at work, usually FT",LA,37,"$50,000 - $74,999","Agriculture, mining, forestry and fisheries",Personal care and personal services
46,"Own children 3-5, 6-13, and 14-17 years of age (none 0-2)","Native, born in US",Male,Married,7,Black,Master's degree,Government - Local,"PT hrs, usually PT for non-economic reasons",OK,117,"$40,000 - $49,999",Communications and utilities,Protective service
39,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Native, born in Puerto Rico or other US island areas",Female,Married,6,Black,1st-4th grade,"Private, nonprofit","FT hours, usually PT for economic reasons",MI,29,"$40,000 - $49,999",Entertainment and recreation,Personal care and personal services
79,All own children 14-17 years of age,"Native, born abroad with American parent(s)",Female,Married,8,White,Less than 1st grade,Government - Local,"PT for economic reasons, usually FT",GA,121,"$35,000 - $39,999",Entertainment and recreation,Personal care and personal services
24,Own children 6-13 and 14-17 years of age (none 0-5),"Foreign born, naturalized US citizen",Male,Not married,9,White,"HS graduate, GED","Private, for profit","FT hours (35+), usually FT",ME,77,"$40,000 - $49,999","Agriculture, mining, forestry and fisheries","Operators, fabricators and laborers"
78,All own children 3-5 years of age,"Native, born abroad with American parent(s)",Male,Not married,13,Black,7th-8th grade,"Private, for profit","FT hours, usually PT for economic reasons",WI,105,"$25,000 - $29,999",Public administration,Services
31,All own children 14-17 years of age,"Native, born abroad with American parent(s)",Female,Married,9,Multiple races,7th-8th grade,Government - Local,Not in labor force,MA,102,"$50,000 - $74,999",Retail trade,Technicians
51,All own children 3-5 years of age,"Native, born in US",Male,Not married,4,Multiple races,7th-8th grade,Government - State,"Not at work, usually FT",FL,39,"$30,000 - $34,999",Transportation,Office and admin
72,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Native, born in US",Female,Not married,5,White,Some college but no degree,"Private, nonprofit","FT hours, usually PT for economic reasons",NY,120,"$50,000 - $74,999",Communications and utilities,Personal care and personal services
72,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Native, born in US",Female,Not married,5,White,"HS graduate, GED","Self-employed, incorporated","PT hrs, usually PT for economic reasons",AL,124,"$5,000 - $7,499",Retail trade,Managers and professionals
18,"Own children 3-5, 6-13, and 14-17 years of age (none 0-2)","Foreign born, naturalized US citizen",Male,Married,3,Asian,Less than 1st grade,"Private, nonprofit",Unemployed PT,ID,14,"Less than $5,000","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Operators, fabricators and laborers"
39,All own children 3-5 years of age,"Native, born abroad with American parent(s)",Male,Married,12,Asian,"HS graduate, GED","Self-employed, incorporated",Unemployed PT,AZ,118,"$12,500 - $14,999",Communications and utilities,Sales
48,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Native, born in US",Male,Not married,0,Native American,1st-4th grade,Government - Federal,Unemployed PT,DC,50,"$10,000 - $12,499","Medical, except hospital","Precision production, craft and repair"
67,"Own children 3-5, 6-13, and 14-17 years of age (none 0-2)","Foreign born, not a US citizen",Male,Married,0,Asian,Less than 1st grade,Government - Local,"PT hrs, usually PT for non-economic reasons",CA,66,"$40,000 - $49,999",Entertainment and recreation,Agriculture
75,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Native, born abroad with American parent(s)",Male,Married,9,Black,Associate degree-academic program,Government - Federal,"FT hours (35+), usually FT",ID,70,"$40,000 - $49,999","Manufacturing, nondurable goods",Sales
66,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born in US",Male,Married,8,Asian,Master's degree,"Self-employed, unincorporated","FT hours, usually PT for economic reasons",LA,50,"$50,000 - $74,999",Wholesale trade,Personal care and personal services
48,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Native, born in US",Male,Not married,13,Asian,Doctorate,"Self-employed, unincorporated",Not in labor force,IA,21,"$50,000 - $74,999",Hospital,Sales
44,All own children 3-5 years of age,"Foreign born, naturalized US citizen",Male,Not married,0,Asian,Doctorate,Without pay,"PT for economic reasons, usually FT",SC,121,"$20,000 - $24,999",Communications and utilities,Sales
68,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born in Puerto Rico or other US island areas",Female,Not married,5,Black,7th-8th grade,Government - State,"FT hours, usually PT for economic reasons",SD,186,"$20,000 - $24,999","Manufacturing, nondurable goods",Personal care and personal services
48,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Native, born in Puerto Rico or other US island areas",Male,Not married,10,Native American,12th grade-no diploma,"Private, nonprofit","Not at work, usually FT",OK,176,"$20,000 - $24,999","Manufacturing, durable goods",Services
73,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, naturalized US citizen",Male,Not married,11,Black,Doctorate,"Private, for profit","FT hours, usually PT for non-economic",AK,87,"$7,500 - $9,999",Communications and utilities,Sales
73,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Foreign born, not a US citizen",Male,Married,7,Black,Master's degree,"Self-employed, incorporated","FT hours (35+), usually FT",DE,164,"$100,000 - $149,999",Social Services,Sales
25,Own children from all age groups,"Native, born in US",Female,Not married,2,White,10th grade,"Self-employed, unincorporated",Unemployed FT,MS,195,"$75,000 - $99,999","Medical, except hospital",Managers and professionals
52,All own children 14-17 years of age,"Native, born abroad with American parent(s)",Female,Not married,11,White,7th-8th grade,Government - Local,"FT hours, usually PT for non-economic",RI,59,"$7,500 - $9,999",Retail trade,Services
52,All own children 14-17 years of age,"Native, born in Puerto Rico or other US island areas",Male,Married,13,Asian,Master's degree,Without pay,"FT hours, usually PT for economic reasons",OR,54,"$7,500 - $9,999","Agriculture, mining, forestry and fisheries",Technicians
31,"Own children 0-2, 6-13, and 14-17 years of age (none 3-5)","Native, born in US",Female,Married,0,Multiple races,Master's degree,"Private, for profit","FT hours, usually PT for non-economic",KY,159,"$25,000 - $29,999",Educational,Services
47,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Native, born in US",Male,Not married,13,Black,Bachelor's degree,Government - State,"FT hours (35+), usually FT",NV,179,"$40,000 - $49,999",Communications and utilities,Managers and professionals
37,All own children 6-13 years of age,"Native, born abroad with American parent(s)",Male,Married,4,Multiple races,Bachelor's degree,"Self-employed, unincorporated","Not at work, usually FT",OR,24,"$7,500 - $9,999",Educational,"Precision production, craft and repair"
57,Own children from all age groups,"Native, born in Puerto Rico or other US island areas",Male,Married,7,Asian,Less than 1st grade,Without pay,"FT hours, usually PT for economic reasons",FL,95,"$40,000 - $49,999",Public administration,"Precision production, craft and repair"
52,All own children 0-2 years of age,"Native, born in US",Male,Not married,0,White,Master's degree,"Self-employed, incorporated",Unemployed FT,MS,62,"$75,000 - $99,999",Hospital,"Operators, fabricators and laborers"
18,All own children 6-13 years of age,"Native, born in US",Female,Not married,7,Native American,Associate degree-academic program,"Private, nonprofit","FT hours, usually PT for economic reasons",VT,129,"$20,000 - $24,999","Agriculture, mining, forestry and fisheries","Precision production, craft and repair"
56,Own children 6-13 and 14-17 years of age (none 0-5),"Native, born in US",Male,Not married,0,Asian,"HS graduate, GED",Government - Federal,"FT hours, usually PT for non-economic",DC,108,"$10,000 - $12,499",Transportation,"Precision production, craft and repair"
79,No own children under 18 years of age,"Foreign born, not a US citizen",Male,Married,11,White,Master's degree,Government - Local,"Not at work, usually FT",WI,121,"$50,000 - $74,999","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Services
32,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Foreign born, naturalized US citizen",Male,Married,12,Asian,"HS graduate, GED","Private, for profit",Unemployed FT,WV,196,"$20,000 - $24,999",Hospital,Managers and professionals
32,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Native, born in US",Female,Not married,2,White,5th-6th grade,"Self-employed, unincorporated",Unemployed FT,MN,7,"$40,000 - $49,999",Transportation,Protective service
54,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Foreign born, naturalized US citizen",Male,Married,10,Multiple races,7th-8th grade,"Self-employed, unincorporated","Not at work, usually part-time",FL,170,"$75,000 - $99,999",Hospital,Services
59,Own children from all age groups,"Native, born in US",Female,Not married,1,White,Bachelor's degree,Government - Local,"FT hours, usually PT for economic reasons",OK,110,"$40,000 - $49,999","Manufacturing, durable goods","Operators, fabricators and laborers"
52,No own children under 18 years of age,"Native, born in US",Female,Not married,12,White,5th-6th grade,Government - Local,"PT hrs, usually PT for economic reasons",MN,51,"$10,000 - $12,499",Hospital,"Operators, fabricators and laborers"
69,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, not a US citizen",Female,Married,7,Native American,5th-6th grade,"Private, nonprofit","FT hours, usually PT for non-economic",OR,25,"$5,000 - $7,499","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Protective service
58,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Native, born in Puerto Rico or other US island areas",Male,Not married,7,Asian,Associate degree-occupational/vocational,"Private, nonprofit","Not at work, usually part-time",TX,94,"$15,000 - $19,999",Social Services,"Operators, fabricators and laborers"
63,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born abroad with American parent(s)",Male,Married,2,Asian,7th-8th grade,Without pay,Unemployed FT,NJ,15,"$10,000 - $12,499",Entertainment and recreation,Sales
20,"Own children 3-5, 6-13, and 14-17 years of age (none 0-2)","Foreign born, not a US citizen",Male,Married,6,White,10th grade,Government - State,"FT hours, usually PT for economic reasons",WV,84,"$7,500 - $9,999","Agriculture, mining, forestry and fisheries",Personal care and personal services
69,All own children 6-13 years of age,"Native, born in US",Female,Not married,11,White,1st-4th grade,"Private, nonprofit","PT hrs, usually PT for economic reasons",MI,62,"$10,000 - $12,499",Communications and utilities,Technicians
43,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Native, born abroad with American parent(s)",Male,Married,5,Hispanic,"HS graduate, GED",Government - Federal,"FT hours, usually PT for non-economic",SD,142,"$5,000 - $7,499",Communications and utilities,Protective service
59,"Own children 0-2, 6-13, and 14-17 years of age (none 3-5)","Foreign born, not a US citizen",Female,Not married,1,Black,12th grade-no diploma,"Private, nonprofit","Not at work, usually part-time",MT,62,"$100,000 - $149,999",Educational,Managers and professionals
20,All own children 3-5 years of age,"Foreign born, not a US citizen",Male,Married,4,White,5th-6th grade,Government - State,Unemployed FT,WY,153,"$12,500 - $14,999",Transportation,"Precision production, craft and repair"
20,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Foreign born, not a US citizen",Female,Not married,2,Native American,Doctorate,"Private, for profit",Not in labor force,KY,101,"$50,000 - $74,999",Retail trade,Personal care and personal services
58,No own children under 18 years of age,"Foreign born, naturalized US citizen",Female,Married,9,Black,10th grade,"Self-employed, unincorporated","Not at work, usually part-time",IN,143,"$75,000 - $99,999",Social Services,Technicians
26,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born in US",Female,Not married,6,Native American,11th grade,Government - State,Not in labor force,OH,158,"$150,000+","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Personal care and personal services
30,Own children 0-2 and 14-17 years of age (none 3-13),"Foreign born, naturalized US citizen",Female,Not married,13,White,5th-6th grade,"Private, nonprofit","PT for non-economic reasons, usually FT",ND,73,"$75,000 - $99,999","Personal services, including private household",Office and admin
41,All own children 0-2 years of age,"Native, born abroad with American parent(s)",Female,Married,5,Native American,1st-4th grade,Government - Federal,Not in labor force,MD,137,"$25,000 - $29,999",Communications and utilities,Personal care and personal services
60,Own children 6-13 and 14-17 years of age (none 0-5),"Foreign born, naturalized US citizen",Female,Married,1,White,Bachelor's degree,Without pay,"FT hours (35+), usually FT",NM,20,"$30,000 - $34,999","Agriculture, mining, forestry and fisheries",Managers and professionals
36,All own children 0-2 years of age,"Foreign born, naturalized US citizen",Female,Not married,0,White,Doctorate,Government - State,"FT hours, usually PT for non-economic",PA,120,"$5,000 - $7,499",Construction,Agriculture
39,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Foreign born, naturalized US citizen",Female,Married,0,Asian,Associate degree-occupational/vocational,"Private, for profit",Unemployed PT,TX,92,"Less than $5,000","Medical, except hospital",Personal care and personal services
28,No own children under 18 years of age,"Native, born abroad with American parent(s)",Male,Married,6,Asian,7th-8th grade,"Self-employed, incorporated","PT for non-economic reasons, usually FT",WV,37,"$50,000 - $74,999",Hospital,Sales
59,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Foreign born, not a US citizen",Female,Married,10,Hispanic,1st-4th grade,Government - Federal,"Not at work, usually part-time",MT,65,"$5,000 - $7,499",Communications and utilities,"Operators, fabricators and laborers"
53,No own children under 18 years of age,"Native, born abroad with American parent(s)",Male,Not married,5,Hispanic,Some college but no degree,"Self-employed, incorporated","FT hours, usually PT for economic reasons",KS,84,"$25,000 - $29,999","Personal services, including private household",Technicians
25,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Native, born abroad with American parent(s)",Male,Not married,10,Black,Professional school,Without pay,"PT hrs, usually PT for economic reasons",AL,172,"$150,000+",Retail trade,Services
29,All own children 3-5 years of age,"Native, born abroad with American parent(s)",Male,Married,8,Native American,10th grade,"Private, nonprofit","FT hours, usually PT for economic reasons",MD,85,"$25,000 - $29,999",Transportation,Sales
48,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Foreign born, naturalized US citizen",Female,Not married,11,White,10th grade,"Self-employed, unincorporated","Not at work, usually part-time",MD,173,"$50,000 - $74,999",Construction,Technicians
51,"Own children 3-5, 6-13, and 14-17 years of age (none 0-2)","Native, born in Puerto Rico or other US island areas",Male,Not married,6,Black,Associate degree-occupational/vocational,"Private, nonprofit","Not at work, usually FT",UT,121,"Less than $5,000",Wholesale trade,Sales
41,All own children 14-17 years of age,"Foreign born, not a US citizen",Female,Married,7,Multiple races,Bachelor's degree,"Self-employed, incorporated","PT for non-economic reasons, usually FT",MO,27,"$5,000 - $7,499","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Services
56,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, naturalized US citizen",Female,Not married,4,Native American,Professional school,"Private, for profit","PT for economic reasons, usually FT",KS,49,"$150,000+",Communications and utilities,Personal care and personal services
24,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born abroad with American parent(s)",Male,Married,7,Hispanic,10th grade,"Self-employed, unincorporated",Unemployed FT,NM,71,"$35,000 - $39,999",Social Services,"Precision production, craft and repair"
73,All own children 6-13 years of age,"Native, born in Puerto Rico or other US island areas",Male,Married,9,Hispanic,"HS graduate, GED",Government - Local,Unemployed FT,ID,122,"$35,000 - $39,999",Construction,Agriculture
23,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Foreign born, not a US citizen",Male,Married,6,Hispanic,10th grade,Without pay,"PT for non-economic reasons, usually FT",SC,73,"$12,500 - $14,999","Personal services, including private household",Personal care and personal services
61,Own children 0-2 and 14-17 years of age (none 3-13),"Native, born in US",Female,Married,3,Native American,1st-4th grade,"Private, for profit","PT hrs, usually PT for non-economic reasons",TN,34,"$10,000 - $12,499",Transportation,Protective service
80,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, not a US citizen",Female,Not married,13,Native American,Associate degree-occupational/vocational,"Private, nonprofit","PT hrs, usually PT for non-economic reasons",OR,46,"$100,000 - $149,999","Agriculture, mining, forestry and fisheries",Sales
71,Own children 6-13 and 14-17 years of age (none 0-5),"Foreign born, not a US citizen",Female,Married,5,Asian,Some college but no degree,"Self-employed, incorporated","PT for non-economic reasons, usually FT",UT,144,"$150,000+",Communications and utilities,Managers and professionals
22,All own children 3-5 years of age,"Foreign born, naturalized US citizen",Female,Not married,11,White,Associate degree-academic program,"Private, for profit","PT hrs, usually PT for economic reasons",OH,169,"$7,500 - $9,999","Agriculture, mining, forestry and fisheries",Technicians
77,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, naturalized US citizen",Male,Married,8,Native American,Associate degree-occupational/vocational,"Self-employed, incorporated","Not at work, usually part-time",MD,112,"$7,500 - $9,999","Manufacturing, durable goods",Protective service
61,Own children 0-2 and 3-5 years of age (none 6-17),"Native, born abroad with American parent(s)",Female,Not married,1,White,"HS graduate, GED","Self-employed, incorporated",Not in labor force,OK,105,"$50,000 - $74,999",Retail trade,Services
76,"Own children 3-5, 6-13, and 14-17 years of age (none 0-2)","Native, born in US",Male,Married,6,Native American,Some college but no degree,"Self-employed, incorporated",Not in labor force,MT,144,"$30,000 - $34,999",Transportation,Agriculture
43,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Native, born abroad with American parent(s)",Male,Not married,5,Black,11th grade,"Private, for profit",Unemployed FT,LA,84,"$35,000 - $39,999",Wholesale trade,Protective service
21,Own children 0-2 and 14-17 years of age (none 3-13),"Foreign born, naturalized US citizen",Male,Married,8,Hispanic,Some college but no degree,Government - State,"PT for non-economic reasons, usually FT",CA,60,"$150,000+","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Protective service
61,Own children 0-2 and 3-5 years of age (none 6-17),"Native, born in US",Female,Not married,4,Multiple races,Professional school,"Private, for profit","FT hours, usually PT for economic reasons",IA,8,"$20,000 - $24,999","Manufacturing, durable goods",Technicians
22,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Foreign born, not a US citizen",Male,Not married,6,Native American,5th-6th grade,"Private, nonprofit",Unemployed PT,HI,54,"$7,500 - $9,999",Transportation,Office and admin
34,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born in Puerto Rico or other US island areas",Male,Married,1,Asian,7th-8th grade,Government - Local,"PT for economic reasons, usually FT",AK,147,"$10,000 - $12,499","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Services
51,"Own children 0-2, 6-13, and 14-17 years of age (none 3-5)","Foreign born, not a US citizen",Male,Married,5,Black,11th grade,"Private, nonprofit",Unemployed PT,AR,147,"$10,000 - $12,499",Construction,Office and admin
67,No own children under 18 years of age,"Native, born in US",Male,Married,4,White,7th-8th grade,Government - State,"PT hrs, usually PT for economic reasons",WY,88,"$5,000 - $7,499",Educational,"Precision production, craft and repair"
43,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Native, born in US",Male,Not married,13,White,Bachelor's degree,"Private, for profit","Not at work, usually FT",FL,46,"$35,000 - $39,999","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Sales
31,All own children 0-2 years of age,"Foreign born, naturalized US citizen",Male,Not married,11,Asian,Some college but no degree,"Private, for profit","FT hours (35+), usually FT",DE,130,"$5,000 - $7,499","Manufacturing, durable goods",Services
59,No own children under 18 years of age,"Foreign born, not a US citizen",Male,Married,0,Native American,11th grade,"Private, nonprofit","PT hrs, usually PT for non-economic reasons",OK,84,"$5,000 - $7,499",Social Services,Sales
18,No own children under 18 years of age,"Native, born in Puerto Rico or other US island areas",Male,Married,0,Native American,"HS graduate, GED",Government - Local,"PT for economic reasons, usually FT",ND,188,"$40,000 - $49,999",Educational,"Precision production, craft and repair"
28,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Native, born in Puerto Rico or other US island areas",Female,Not married,1,Multiple races,12th grade-no diploma,Without pay,"FT hours, usually PT for non-economic",DC,117,"$10,000 - $12,499","Manufacturing, durable goods","Operators, fabricators and laborers"
39,Own children 0-2 and 14-17 years of age (none 3-13),"Foreign born, naturalized US citizen",Female,Not married,11,White,Professional school,Government - Local,"PT for non-economic reasons, usually FT",IL,68,"$30,000 - $34,999",Construction,Agriculture
79,All own children 3-5 years of age,"Foreign born, naturalized US citizen",Male,Not married,9,Asian,Less than 1st grade,"Private, for profit","FT hours, usually PT for economic reasons",NE,172,"Less than $5,000","Manufacturing, durable goods",Sales
79,No own children under 18 years of age,"Native, born in Puerto Rico or other US island areas",Female,Married,9,White,7th-8th grade,"Self-employed, incorporated","FT hours (35+), usually FT",CA,56,"$30,000 - $34,999",Social Services,"Operators, fabricators and laborers"
73,All own children 6-13 years of age,"Native, born abroad with American parent(s)",Male,Married,11,Asian,Doctorate,Without pay,"FT hours (35+), usually FT",OH,47,"$10,000 - $12,499",Public administration,"Precision production, craft and repair"
56,All own children 6-13 years of age,"Native, born abroad with American parent(s)",Female,Married,0,White,Associate degree-occupational/vocational,"Private, nonprofit","PT hrs, usually PT for economic reasons",OK,87,"$15,000 - $19,999","Medical, except hospital","Precision production, craft and repair"
48,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Foreign born, not a US citizen",Male,Married,8,Hispanic,7th-8th grade,"Self-employed, unincorporated","Not at work, usually FT",IN,156,"$12,500 - $14,999",Entertainment and recreation,Services
54,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Native, born abroad with American parent(s)",Male,Married,3,Hispanic,Bachelor's degree,"Self-employed, incorporated","FT hours (35+), usually FT",TX,74,"$30,000 - $34,999",Hospital,Managers and professionals
51,All own children 3-5 years of age,"Foreign born, naturalized US citizen",Male,Married,10,White,"HS graduate, GED","Private, for profit","PT hrs, usually PT for economic reasons",KY,92,"$10,000 - $12,499",Social Services,Managers and professionals
67,All own children 6-13 years of age,"Native, born in US",Male,Married,10,Hispanic,10th grade,Without pay,Not in labor force,NM,62,"$12,500 - $14,999",Entertainment and recreation,Agriculture
46,Own children 0-2 and 3-5 years of age (none 6-17),"Native, born in Puerto Rico or other US island areas",Male,Not married,1,White,"HS graduate, GED","Private, for profit",Not in labor force,CT,39,"$35,000 - $39,999",Communications and utilities,Services
54,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Native, born in US",Female,Not married,4,Multiple races,Associate degree-academic program,Government - Federal,Unemployed FT,AL,146,"$30,000 - $34,999",Communications and utilities,Personal care and personal services
19,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Foreign born, naturalized US citizen",Male,Not married,10,Asian,Master's degree,"Private, for profit","PT hrs, usually PT for non-economic reasons",OR,77,"$50,000 - $74,999",Educational,Managers and professionals
56,Own children 0-2 and 3-5 years of age (none 6-17),"Native, born abroad with American parent(s)",Male,Married,7,Asian,Master's degree,Government - Federal,"Not at work, usually part-time",VA,142,"$35,000 - $39,999",Hospital,Sales
69,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, not a US citizen",Female,Married,7,Hispanic,11th grade,"Self-employed, incorporated","Not at work, usually part-time",NE,18,"$30,000 - $34,999",Communications and utilities,Services
60,No own children under 18 years of age,"Foreign born, naturalized US citizen",Female,Not married,11,Native American,Associate degree-occupational/vocational,Government - Local,"Not at work, usually part-time",CT,171,"$35,000 - $39,999",Transportation,Office and admin
40,Own children 0-2 and 14-17 years of age (none 3-13),"Native, born in Puerto Rico or other US island areas",Male,Not married,9,White,Bachelor's degree,"Private, for profit","FT hours, usually PT for economic reasons",AL,20,"$50,000 - $74,999","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Technicians
30,"Own children 3-5, 6-13, and 14-17 years of age (none 0-2)","Foreign born, naturalized US citizen",Male,Married,0,Native American,12th grade-no diploma,"Self-employed, unincorporated","Not at work, usually FT",FL,90,"$25,000 - $29,999",Wholesale trade,Agriculture
53,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Foreign born, not a US citizen",Female,Married,12,Asian,Doctorate,Government - Local,"PT hrs, usually PT for non-economic reasons",DC,61,"$100,000 - $149,999",Wholesale trade,Managers and professionals
24,"Own children 3-5, 6-13, and 14-17 years of age (none 0-2)","Native, born abroad with American parent(s)",Female,Not married,0,Asian,Less than 1st grade,Without pay,"PT hrs, usually PT for non-economic reasons",AZ,62,"$5,000 - $7,499",Hospital,Agriculture
63,Own children 0-2 and 14-17 years of age (none 3-13),"Native, born in Puerto Rico or other US island areas",Female,Not married,4,White,5th-6th grade,"Private, nonprofit",Unemployed FT,WV,128,"$7,500 - $9,999","Manufacturing, durable goods",Office and admin
46,Own children from all age groups,"Foreign born, not a US citizen",Female,Not married,13,Asian,Master's degree,"Private, nonprofit","Not at work, usually FT",OR,78,"$100,000 - $149,999",Transportation,Personal care and personal services
46,All own children 3-5 years of age,"Native, born abroad with American parent(s)",Male,Married,0,White,9th grade,Government - Local,"PT hrs, usually PT for economic reasons",MI,152,"$150,000+",Social Services,"Operators, fabricators and laborers"
59,Own children 6-13 and 14-17 years of age (none 0-5),"Foreign born, not a US citizen",Male,Married,6,Native American,1st-4th grade,"Private, nonprofit","FT hours, usually PT for non-economic",WV,50,"$5,000 - $7,499","Medical, except hospital","Precision production, craft and repair"
